Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
<25,No,Travel_Rarely,500 - 1000,Research & Development,10 - 20 km,3,Medical,1,144,2,Female,40 - 70,3,1,Laboratory Technician,4,Single,"< 5,000",23785,> 2 ,Y,No,15,3,3,80,0,1,5,3,< 2 years,0,0,0
45-54,No,Travel_Frequently," >1,000",Research & Development,< 10 km,4,Medical,1,145,1,Female,<40,2,3,Healthcare Representative,1,Single,"5,000 - 10,000",25796,> 5 years,Y,No,20,4,3,80,0,23,1,2,> 12 years,12,12,8
25-34,Yes,Travel_Frequently,500 - 1000,Research & Development,< 10 km,3,Life Sciences,1,147,1,Male,40 - 70,1,2,Laboratory Technician,3,Single,"5,000 - 10,000",22887,> 2 ,Y,Yes,24,4,4,80,0,9,3,3, 6 - 12 years,7,0,6
45-54,No,Non-Travel,below 500,Human Resources,> 20km,3,Human Resources,1,148,4,Female,<40,4,4,Manager,4,Single,">10,000",13871,> 2 ,Y,Yes,12,3,3,80,0,23,3,3,3 - 5 years,3,4,4
<25,No,Travel_Rarely," >1,000",Research & Development,10 - 20 km,1,Life Sciences,1,150,2,Male,40 - 70,3,1,Laboratory Technician,3,Married,"< 5,000",13257,> 2 ,Y,No,12,3,3,80,1,6,2,3,3 - 5 years,3,1,2
25-34,No,Travel_Rarely," >1,000",Research & Development,< 10 km,4,Life Sciences,1,151,3,Female,40 - 70,2,2,Research Scientist,2,Divorced,"< 5,000",15000,> 5 years,Y,No,15,3,3,80,1,12,3,3,< 2 years,0,0,0
35-44,No,Travel_Rarely," >1,000",Sales,< 10 km,3,Life Sciences,1,152,3,Male,> 70,3,3,Sales Executive,4,Single,"5,000 - 10,000",14506,> 2 ,Y,No,12,3,1,80,0,12,3,3,3 - 5 years,3,1,3
25-34,No,Travel_Rarely," >1,000",Research & Development,< 10 km,3,Medical,1,153,3,Female,40 - 70,2,3,Manager,1,Single,">10,000",5615,> 2 ,Y,No,12,3,4,80,0,14,6,3, 6 - 12 years,10,5,8
35-44,No,Travel_Frequently," >1,000",Sales,10 - 20 km,2,Technical Degree,1,154,2,Female,> 70,3,3,Sales Executive,4,Married,"5,000 - 10,000",22952,> 2 ,Y,No,14,3,3,80,1,10,6,3, 6 - 12 years,7,2,8
35-44,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,2,Life Sciences,1,155,1,Female,<40,3,1,Laboratory Technician,4,Divorced,"< 5,000",2561,3 - 5 years,Y,No,22,4,1,80,1,7,2,3,< 2 years,0,0,0
35-44,No,Travel_Frequently,below 500,Sales,> 20km,2,Life Sciences,1,158,3,Male,> 70,3,4,Manager,4,Married,">10,000",19494,> 2 ,Y,Yes,12,3,4,80,2,25,3,4,> 12 years,12,4,12
25-34,No,Travel_Frequently," >1,000",Research & Development,> 20km,3,Life Sciences,1,159,1,Male,> 70,1,1,Research Scientist,3,Divorced,"< 5,000",22310,> 2 ,Y,No,25,4,3,80,3,10,2,2, 6 - 12 years,7,0,9
25-34,No,Non-Travel,500 - 1000,Sales,> 20km,2,Marketing,1,160,3,Male,> 70,3,2,Sales Executive,2,Married,"5,000 - 10,000",15480,> 2 ,Y,No,13,3,1,80,1,8,2,4, 6 - 12 years,7,0,7
>55,Yes,Travel_Rarely,below 500,Research & Development,10 - 20 km,4,Life Sciences,1,161,2,Female,> 70,3,1,Research Scientist,2,Married,"< 5,000",4510,> 5 years,Y,Yes,18,3,1,80,3,7,2,3,3 - 5 years,4,4,3
45-54,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,3,Life Sciences,1,162,1,Male,40 - 70,3,5,Research Director,3,Single,">10,000",6462,> 5 years,Y,No,13,3,3,80,0,23,5,3,> 12 years,18,15,15
25-34,Yes,Travel_Rarely,below 500,Sales,< 10 km,4,Life Sciences,1,163,2,Male,> 70,1,2,Sales Executive,3,Married,"5,000 - 10,000",20739,3 - 5 years,Y,Yes,18,3,2,80,0,12,3,2, 6 - 12 years,7,7,7
25-34,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,3,Other,1,164,3,Female,40 - 70,2,1,Research Scientist,2,Married,"< 5,000",23300,> 2 ,Y,No,19,3,3,80,0,5,3,2,3 - 5 years,4,4,3
>55,Yes,Travel_Rarely,below 500,Research & Development,> 20km,4,Medical,1,165,4,Female,> 70,3,3,Healthcare Representative,4,Married,">10,000",3465,> 2 ,Y,No,12,3,4,80,1,40,3,2,> 12 years,10,15,6
<25,Yes,Travel_Rarely,500 - 1000,Sales,> 20km,1,Marketing,1,167,4,Male,40 - 70,3,1,Sales Representative,3,Single,"< 5,000",26820,> 2 ,Y,Yes,19,3,4,80,0,0,2,2,< 2 years,0,0,0
<25,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,1,Technical Degree,1,169,3,Male,> 70,3,1,Laboratory Technician,4,Married,"< 5,000",19299,> 2 ,Y,No,14,3,3,80,1,3,2,3,< 2 years,1,2,1
45-54,No,Travel_Rarely,below 500,Research & Development,10 - 20 km,4,Medical,1,170,3,Female,> 70,3,2,Manufacturing Director,1,Married,"5,000 - 10,000",5549,> 2 ,Y,No,14,3,3,80,0,16,2,2,> 12 years,11,5,11
35-44,No,Travel_Frequently,500 - 1000,Research & Development,> 20km,3,Medical,1,171,2,Female,> 70,4,1,Research Scientist,3,Single,"< 5,000",16090,3 - 5 years,Y,No,12,3,4,80,0,18,2,3,3 - 5 years,2,1,2
45-54,No,Travel_Frequently,500 - 1000,Sales,10 - 20 km,3,Marketing,1,174,3,Female,> 70,3,3,Sales Executive,4,Single,"5,000 - 10,000",6645,3 - 5 years,Y,No,11,3,4,80,0,16,3,3,< 2 years,2,2,1
25-34,Yes,Travel_Rarely,500 - 1000,Sales,10 - 20 km,3,Life Sciences,1,175,2,Female,> 70,1,2,Sales Executive,3,Married,"< 5,000",24788,> 5 years,Y,Yes,11,3,3,80,1,4,2,3,< 2 years,2,2,2
35-44,No,Travel_Rarely,500 - 1000,Sales,< 10 km,1,Life Sciences,1,176,3,Male,> 70,3,3,Sales Executive,3,Divorced,"5,000 - 10,000",21196,> 5 years,Y,Yes,13,3,3,80,1,12,2,3, 6 - 12 years,7,0,7
25-34,No,Travel_Rarely," >1,000",Human Resources,> 20km,1,Life Sciences,1,177,3,Female,40 - 70,3,1,Human Resources,3,Married,"< 5,000",8916,> 2 ,Y,No,23,4,4,80,1,8,3,3, 6 - 12 years,7,5,7
35-44,No,Travel_Rarely,below 500,Research & Development,< 10 km,2,Medical,1,178,2,Male,> 70,3,2,Manufacturing Director,2,Divorced,"< 5,000",2819,> 5 years,Y,No,20,4,4,80,2,7,0,3,3 - 5 years,2,0,1
45-54,Yes,Travel_Frequently," >1,000",Research & Development,< 10 km,4,Life Sciences,1,179,1,Male,40 - 70,1,3,Manufacturing Director,4,Single,">10,000",25150,> 2 ,Y,No,15,3,4,80,0,18,2,3,3 - 5 years,2,0,3
35-44,No,Travel_Rarely," >1,000",Sales,< 10 km,4,Life Sciences,1,182,4,Female,40 - 70,2,2,Sales Executive,3,Married,"5,000 - 10,000",14590,3 - 5 years,Y,No,14,3,3,80,1,17,1,4,> 12 years,11,5,9
25-34,No,Travel_Rarely,500 - 1000,Sales,> 20km,3,Life Sciences,1,183,1,Male,40 - 70,2,2,Sales Executive,3,Married,"5,000 - 10,000",24835,> 2 ,Y,No,18,3,4,80,0,6,3,3,< 2 years,2,2,2
25-34,No,Travel_Rarely," >1,000",Human Resources,< 10 km,3,Human Resources,1,184,3,Male,40 - 70,3,2,Human Resources,4,Married,"5,000 - 10,000",13982,> 2 ,Y,Yes,19,3,4,80,0,12,2,1, 6 - 12 years,9,4,7
25-34,Yes,Travel_Rarely," >1,000",Research & Development,< 10 km,3,Medical,1,190,1,Female,40 - 70,3,1,Laboratory Technician,1,Single,"< 5,000",10224,> 5 years,Y,No,22,4,1,80,0,10,2,4,3 - 5 years,4,0,4
45-54,No,Travel_Rarely," >1,000",Research & Development,> 20km,3,Medical,1,192,3,Male,> 70,3,1,Research Scientist,4,Single,"< 5,000",9752,3 - 5 years,Y,No,13,3,2,80,0,9,2,2, 6 - 12 years,5,0,3
35-44,No,Travel_Rarely,below 500,Research & Development,< 10 km,5,Technical Degree,1,193,4,Female,<40,3,2,Research Scientist,3,Single,"< 5,000",2302,> 5 years,Y,Yes,20,4,2,80,0,19,2,3,3 - 5 years,2,2,2
25-34,No,Travel_Rarely,below 500,Research & Development,10 - 20 km,3,Life Sciences,1,194,1,Female,> 70,3,1,Research Scientist,3,Single,"< 5,000",23910,> 2 ,Y,No,14,3,3,80,0,5,4,2,3 - 5 years,4,0,4
25-34,No,Travel_Frequently,500 - 1000,Sales,< 10 km,2,Medical,1,195,4,Male,<40,1,2,Sales Executive,4,Divorced,"< 5,000",22812,> 2 ,Y,No,17,3,4,80,3,9,2,4, 6 - 12 years,7,0,7
25-34,No,Travel_Rarely,below 500,Research & Development,< 10 km,3,Technical Degree,1,197,4,Female,> 70,3,1,Research Scientist,1,Divorced,"< 5,000",10415,3 - 5 years,Y,No,14,3,4,80,1,8,3,3,3 - 5 years,2,2,2
25-34,No,Travel_Rarely," >1,000",Research & Development,< 10 km,1,Medical,1,198,2,Male,<40,2,1,Laboratory Technician,4,Single,"< 5,000",11162,> 2 ,Y,No,13,3,4,80,0,6,3,3,3 - 5 years,3,1,2
35-44,No,Travel_Frequently,500 - 1000,Research & Development,< 10 km,3,Life Sciences,1,199,4,Male,> 70,2,4,Manager,1,Divorced,">10,000",12888,3 - 5 years,Y,No,13,3,2,80,1,21,2,2, 6 - 12 years,6,7,7
35-44,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,4,Life Sciences,1,200,3,Male,> 70,3,1,Laboratory Technician,1,Married,"< 5,000",6961,> 2 ,Y,No,21,4,4,80,1,7,2,3,3 - 5 years,0,1,4
<25,No,Travel_Rarely," >1,000",Research & Development,< 10 km,1,Medical,1,201,2,Female,> 70,3,1,Laboratory Technician,2,Single,"< 5,000",16102,> 2 ,Y,No,14,3,4,80,0,1,3,3,< 2 years,0,0,0
35-44,No,Travel_Frequently," >1,000",Research & Development,> 20km,3,Medical,1,202,2,Female,40 - 70,3,2,Research Scientist,2,Divorced,"5,000 - 10,000",8504,> 2 ,Y,No,11,3,1,80,1,20,2,3,> 12 years,7,2,13
35-44,No,Travel_Rarely,500 - 1000,Sales,< 10 km,5,Marketing,1,204,3,Male,> 70,3,3,Sales Executive,2,Married,"5,000 - 10,000",11439,> 2 ,Y,No,13,3,1,80,2,10,3,3, 6 - 12 years,8,0,6
45-54,No,Travel_Rarely," >1,000",Sales,< 10 km,2,Marketing,1,205,2,Male,<40,3,2,Sales Representative,3,Married,"< 5,000",16047,> 2 ,Y,Yes,20,4,4,80,1,13,3,1, 6 - 12 years,7,4,5
45-54,No,Travel_Rarely,below 500,Research & Development,< 10 km,3,Life Sciences,1,206,2,Male,40 - 70,3,2,Laboratory Technician,2,Divorced,"< 5,000",10901,> 5 years,Y,No,18,3,3,80,1,20,2,1,> 12 years,9,0,15
25-34,No,Travel_Frequently,500 - 1000,Sales,< 10 km,3,Marketing,1,207,2,Female,40 - 70,3,3,Sales Executive,4,Single,"5,000 - 10,000",15589,> 2 ,Y,No,14,3,4,80,0,9,2,3, 6 - 12 years,8,3,7
25-34,No,Non-Travel," >1,000",Research & Development,< 10 km,1,Technical Degree,1,208,4,Male,40 - 70,3,2,Manufacturing Director,3,Married,"< 5,000",26283,> 2 ,Y,No,13,3,1,80,1,10,1,3, 6 - 12 years,7,0,9
45-54,No,Travel_Rarely," >1,000",Research & Development,< 10 km,4,Medical,1,211,2,Male,<40,2,2,Manufacturing Director,3,Married,"5,000 - 10,000",13983,> 2 ,Y,No,17,3,3,80,0,10,2,3,< 2 years,0,0,0
>55,No,Travel_Rarely," >1,000",Research & Development,< 10 km,3,Medical,1,214,2,Female,> 70,2,1,Research Scientist,2,Married,"< 5,000",11873,3 - 5 years,Y,Yes,20,4,2,80,1,9,3,2,< 2 years,0,0,0
35-44,No,Travel_Rarely,500 - 1000,Sales,< 10 km,4,Marketing,1,215,3,Male,40 - 70,2,3,Sales Executive,4,Married,">10,000",8552,> 5 years,Y,No,11,3,1,80,1,15,2,2, 6 - 12 years,11,2,11
25-34,No,Travel_Frequently,below 500,Sales,< 10 km,4,Marketing,1,216,3,Female,> 70,3,1,Sales Representative,3,Married,"< 5,000",11314,> 5 years,Y,No,18,3,4,80,1,6,3,3,3 - 5 years,3,1,2
<25,No,Travel_Rarely," >1,000",Research & Development,10 - 20 km,1,Medical,1,217,3,Male,> 70,3,1,Research Scientist,4,Married,"< 5,000",11992,> 2 ,Y,No,24,4,1,80,2,2,6,3,< 2 years,2,2,2
25-34,No,Non-Travel,500 - 1000,Research & Development,< 10 km,3,Medical,1,218,4,Male,40 - 70,3,1,Research Scientist,2,Divorced,"< 5,000",5970,> 5 years,Y,No,18,3,4,80,1,6,1,1,< 2 years,2,2,2
25-34,No,Travel_Rarely,below 500,Research & Development,> 20km,3,Medical,1,221,3,Male,40 - 70,3,1,Research Scientist,4,Married,"< 5,000",6672,> 2 ,Y,No,11,3,3,80,1,5,2,1,3 - 5 years,2,0,2
>55,No,Travel_Rarely,below 500,Research & Development,> 20km,2,Life Sciences,1,223,3,Male,> 70,4,3,Healthcare Representative,4,Divorced,"5,000 - 10,000",23402,> 5 years,Y,Yes,16,3,2,80,1,12,2,1,3 - 5 years,3,1,4
25-34,No,Non-Travel," >1,000",Research & Development,< 10 km,3,Medical,1,224,3,Male,> 70,2,1,Research Scientist,3,Divorced,"< 5,000",25326,> 2 ,Y,Yes,15,3,4,80,1,1,2,2,< 2 years,1,0,1
45-54,No,Travel_Rarely," >1,000",Research & Development,10 - 20 km,3,Life Sciences,1,226,3,Female,40 - 70,3,5,Manager,2,Single,">10,000",17053,> 5 years,Y,No,15,3,2,80,0,21,5,3,3 - 5 years,4,4,4
35-44,No,Travel_Rarely,below 500,Research & Development,10 - 20 km,3,Life Sciences,1,227,1,Male,40 - 70,3,1,Research Scientist,3,Divorced,"< 5,000",4609,3 - 5 years,Y,No,12,3,1,80,1,13,2,3, 6 - 12 years,8,1,8
25-34,No,Travel_Rarely," >1,000",Sales,< 10 km,3,Life Sciences,1,228,2,Female,40 - 70,3,3,Sales Executive,4,Married,"5,000 - 10,000",8053,> 2 ,Y,No,12,3,3,80,1,12,2,3, 6 - 12 years,9,7,4
35-44,No,Travel_Rarely,500 - 1000,Sales,< 10 km,4,Life Sciences,1,230,1,Female,40 - 70,2,2,Sales Executive,4,Single,"5,000 - 10,000",12930,3 - 5 years,Y,No,22,4,3,80,0,12,2,4, 6 - 12 years,3,0,7
25-34,No,Travel_Rarely,below 500,Research & Development,< 10 km,5,Life Sciences,1,231,3,Male,40 - 70,3,1,Research Scientist,3,Single,"< 5,000",12430,> 5 years,Y,No,20,4,1,80,0,8,2,3,3 - 5 years,4,1,4
25-34,No,Travel_Rarely," >1,000",Research & Development,10 - 20 km,3,Technical Degree,1,233,3,Male,40 - 70,3,1,Research Scientist,2,Married,"< 5,000",13364,> 2 ,Y,Yes,16,3,4,80,1,6,3,2,3 - 5 years,2,1,1
<25,Yes,Travel_Frequently,500 - 1000,Sales,< 10 km,1,Technical Degree,1,235,3,Female,> 70,1,1,Sales Representative,1,Single,"< 5,000",20989,> 2 ,Y,No,21,4,1,80,0,1,5,4,< 2 years,0,0,0
35-44,No,Travel_Frequently," >1,000",Research & Development,< 10 km,2,Medical,1,238,4,Male,<40,3,1,Laboratory Technician,2,Single,"< 5,000",15062,3 - 5 years,Y,No,12,3,3,80,0,13,3,2, 6 - 12 years,7,7,2
25-34,No,Non-Travel,below 500,Research & Development,< 10 km,3,Medical,1,239,3,Male,40 - 70,3,2,Laboratory Technician,1,Divorced,"< 5,000",11012,> 2 ,Y,No,11,3,3,80,2,12,4,3, 6 - 12 years,9,6,10
45-54,No,Travel_Rarely," >1,000",Sales,< 10 km,2,Life Sciences,1,240,3,Female,<40,3,2,Sales Executive,1,Divorced,"5,000 - 10,000",6319,3 - 5 years,Y,Yes,11,3,1,80,1,9,3,4,3 - 5 years,4,0,3
>55,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,3,Life Sciences,1,241,3,Female,40 - 70,3,1,Research Scientist,1,Divorced,"< 5,000",13939,3 - 5 years,Y,Yes,18,3,3,80,1,19,3,3,< 2 years,2,2,2
25-34,No,Travel_Rarely,below 500,Research & Development,< 10 km,3,Life Sciences,1,242,3,Male,> 70,3,1,Research Scientist,4,Single,"< 5,000",10515,> 2 ,Y,No,14,3,1,80,0,4,2,4,3 - 5 years,1,0,2
<25,Yes,Travel_Rarely,below 500,Research & Development,< 10 km,3,Life Sciences,1,243,2,Male,40 - 70,2,1,Laboratory Technician,4,Single,"< 5,000",9241,> 2 ,Y,No,22,4,3,80,0,1,3,2,< 2 years,0,1,0
45-54,No,Travel_Rarely,500 - 1000,Sales,< 10 km,2,Marketing,1,244,2,Female,> 70,3,3,Sales Executive,1,Divorced,">10,000",2137,> 2 ,Y,No,25,4,3,80,3,24,2,3,> 12 years,13,15,7
35-44,No,Travel_Rarely," >1,000",Research & Development,< 10 km,2,Life Sciences,1,245,3,Female,> 70,3,1,Laboratory Technician,4,Single,"< 5,000",6319,> 2 ,Y,No,12,3,3,80,0,2,3,3,< 2 years,2,2,1
25-34,No,Travel_Rarely,below 500,Research & Development,10 - 20 km,1,Medical,1,246,3,Female,> 70,3,1,Research Scientist,4,Married,"< 5,000",6984,> 5 years,Y,Yes,23,4,3,80,1,7,0,3,3 - 5 years,2,0,2
25-34,No,Travel_Rarely,500 - 1000,Research & Development,> 20km,2,Medical,1,247,4,Female,> 70,3,1,Research Scientist,2,Single,"< 5,000",5711,> 2 ,Y,No,15,3,4,80,0,9,3,3,3 - 5 years,2,1,2
35-44,Yes,Travel_Rarely," >1,000",Sales,10 - 20 km,2,Marketing,1,248,2,Female,40 - 70,3,1,Sales Representative,2,Single,"< 5,000",21728,> 2 ,Y,Yes,22,4,4,80,0,4,5,2,3 - 5 years,3,0,2
45-54,No,Travel_Rarely,below 500,Research & Development,< 10 km,3,Medical,1,249,3,Male,> 70,2,1,Laboratory Technician,3,Married,"< 5,000",3425,> 2 ,Y,No,15,3,4,80,1,5,2,2,3 - 5 years,2,0,2
45-54,No,Travel_Rarely," >1,000",Research & Development,10 - 20 km,2,Medical,1,250,4,Female,40 - 70,4,2,Manufacturing Director,1,Divorced,"< 5,000",26250,> 2 ,Y,No,11,3,3,80,2,5,3,3,3 - 5 years,2,1,3
25-34,No,Travel_Rarely,500 - 1000,Research & Development,10 - 20 km,3,Medical,1,252,4,Female,> 70,3,1,Research Scientist,2,Married,"< 5,000",4673,> 2 ,Y,No,13,3,4,80,1,8,5,3, 6 - 12 years,7,1,6
35-44,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,1,Medical,1,253,4,Female,40 - 70,3,5,Manager,3,Married,">10,000",6499,> 2 ,Y,No,14,3,2,80,1,21,2,3,> 12 years,8,9,9
>55,No,Travel_Rarely,500 - 1000,Research & Development,10 - 20 km,4,Medical,1,254,3,Male,40 - 70,4,5,Research Director,2,Single,">10,000",13339,> 5 years,Y,No,11,3,4,80,0,36,3,3,> 12 years,15,2,15
25-34,No,Travel_Frequently," >1,000",Research & Development,< 10 km,1,Life Sciences,1,256,4,Male,40 - 70,2,2,Manufacturing Director,3,Married,"5,000 - 10,000",14074,> 2 ,Y,No,17,3,3,80,0,10,2,2, 6 - 12 years,9,1,9
45-54,No,Travel_Rarely,below 500,Research & Development,< 10 km,3,Medical,1,258,4,Female,> 70,3,4,Healthcare Representative,2,Single,">10,000",7192,> 5 years,Y,No,18,3,3,80,0,21,6,3, 6 - 12 years,7,1,0
45-54,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,4,Life Sciences,1,259,3,Male,40 - 70,2,5,Manager,3,Married,">10,000",5678,> 2 ,Y,No,14,3,1,80,1,34,5,3,> 12 years,18,11,9
25-34,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,3,Medical,1,260,4,Female,> 70,3,1,Research Scientist,2,Single,"< 5,000",11781,> 2 ,Y,No,16,3,4,80,0,7,2,2, 6 - 12 years,7,0,3
35-44,Yes,Travel_Rarely,500 - 1000,Research & Development,> 20km,2,Life Sciences,1,261,2,Male,40 - 70,2,2,Manufacturing Director,3,Married,"5,000 - 10,000",15497,> 5 years,Y,Yes,13,3,1,80,0,8,1,3,< 2 years,0,0,1
35-44,No,Non-Travel," >1,000",Research & Development,< 10 km,3,Medical,1,262,4,Male,<40,4,1,Research Scientist,4,Divorced,"< 5,000",5228,3 - 5 years,Y,No,14,3,4,80,3,7,3,4,3 - 5 years,4,2,2
45-54,No,Non-Travel," >1,000",Research & Development,< 10 km,2,Medical,1,264,1,Male,40 - 70,2,4,Manager,4,Married,">10,000",20462,> 5 years,Y,No,23,4,4,80,1,22,1,3,> 12 years,8,11,8
35-44,No,Travel_Rarely,below 500,Research & Development,> 20km,3,Life Sciences,1,267,2,Male,40 - 70,4,1,Research Scientist,1,Married,"< 5,000",22977,> 2 ,Y,Yes,12,3,1,80,1,8,3,2, 6 - 12 years,7,1,7
35-44,No,Travel_Frequently,below 500,Research & Development,< 10 km,3,Medical,1,269,2,Female,<40,3,2,Laboratory Technician,2,Single,"< 5,000",15986,3 - 5 years,Y,No,11,3,4,80,0,10,5,3, 6 - 12 years,2,1,2
35-44,No,Non-Travel,500 - 1000,Research & Development,> 20km,2,Medical,1,270,3,Female,<40,3,2,Manufacturing Director,3,Divorced,"5,000 - 10,000",16439,> 2 ,Y,No,16,3,2,80,1,11,5,3,3 - 5 years,3,0,2
35-44,No,Travel_Rarely," >1,000",Research & Development,< 10 km,4,Life Sciences,1,271,4,Male,> 70,3,2,Manufacturing Director,3,Married,"5,000 - 10,000",7259,> 5 years,Y,No,14,3,2,80,0,14,3,3,< 2 years,0,0,0
35-44,No,Travel_Rarely," >1,000",Research & Development,> 20km,3,Technical Degree,1,273,4,Male,40 - 70,3,2,Manufacturing Director,4,Married,"5,000 - 10,000",4185,> 5 years,Y,No,18,3,1,80,1,9,3,1, 6 - 12 years,7,1,7
25-34,No,Travel_Frequently,below 500,Research & Development,< 10 km,1,Technical Degree,1,274,3,Male,40 - 70,2,2,Manufacturing Director,1,Married,"< 5,000",9679,3 - 5 years,Y,No,19,3,3,80,1,6,1,3,< 2 years,2,2,0
45-54,No,Non-Travel," >1,000",Research & Development,10 - 20 km,4,Life Sciences,1,275,4,Male,> 70,3,2,Manufacturing Director,4,Divorced,"5,000 - 10,000",23793,> 2 ,Y,Yes,15,3,1,80,2,7,0,3, 6 - 12 years,7,1,7
25-34,No,Travel_Frequently,500 - 1000,Research & Development,< 10 km,4,Medical,1,277,4,Male,40 - 70,3,1,Research Scientist,3,Divorced,"< 5,000",5972,> 2 ,Y,Yes,17,3,4,80,1,5,4,4,3 - 5 years,3,2,0
35-44,No,Travel_Rarely,500 - 1000,Research & Development,10 - 20 km,2,Medical,1,281,3,Male,> 70,3,2,Laboratory Technician,4,Married,"< 5,000",16523,> 5 years,Y,Yes,15,3,3,80,1,15,2,4, 6 - 12 years,2,3,7
35-44,Yes,Travel_Rarely," >1,000",Research & Development,> 20km,1,Medical,1,282,2,Male,40 - 70,3,2,Healthcare Representative,1,Married,"5,000 - 10,000",11354,> 5 years,Y,Yes,19,3,2,80,0,17,2,3,< 2 years,0,0,0
25-34,Yes,Travel_Rarely,below 500,Sales,> 20km,3,Marketing,1,283,2,Female,<40,3,3,Sales Executive,4,Married,"5,000 - 10,000",24525,> 2 ,Y,No,22,4,4,80,3,10,3,2, 6 - 12 years,4,1,9
<25,No,Travel_Rarely," >1,000",Research & Development,< 10 km,3,Life Sciences,1,284,4,Male,40 - 70,4,1,Research Scientist,2,Divorced,"< 5,000",12392,> 2 ,Y,Yes,16,3,1,80,1,4,2,2,3 - 5 years,2,2,2
35-44,No,Travel_Frequently,500 - 1000,Research & Development,10 - 20 km,1,Medical,1,286,2,Female,> 70,3,1,Laboratory Technician,4,Single,"< 5,000",7703,> 2 ,Y,No,13,3,1,80,0,8,2,3, 6 - 12 years,1,1,7
35-44,No,Non-Travel," >1,000",Research & Development,< 10 km,5,Life Sciences,1,287,4,Male,40 - 70,2,2,Healthcare Representative,4,Married,"< 5,000",14242,> 5 years,Y,No,14,3,4,80,1,5,5,1,3 - 5 years,2,0,2
45-54,No,Travel_Rarely,500 - 1000,Research & Development,< 10 km,4,Medical,1,288,4,Male,> 70,3,3,Healthcare Representative,1,Divorced,"5,000 - 10,000",12368,> 5 years,Y,No,16,3,3,80,1,17,3,3,3 - 5 years,2,0,3
25-34,Yes,Travel_Rarely," >1,000",Sales,< 10 km,4,Medical,1,291,4,Male,<40,1,3,Sales Executive,4,Married,">10,000",25812,> 2 ,Y,No,11,3,3,80,0,14,2,2,> 12 years,8,9,8
25-34,No,Non-Travel,500 - 1000,Research & Development,< 10 km,1,Life Sciences,1,292,3,Male,> 70,2,3,Manufacturing Director,3,Single,"5,000 - 10,000",20925,> 2 ,Y,No,22,4,3,80,0,12,2,3, 6 - 12 years,8,5,8
25-34,No,Travel_Frequently," >1,000",Sales,10 - 20 km,3,Life Sciences,1,293,4,Female,> 70,3,2,Sales Executive,3,Single,"5,000 - 10,000",12916,> 2 ,Y,No,14,3,4,80,0,7,2,3, 6 - 12 years,7,0,7
45-54,No,Travel_Rarely," >1,000",Research & Development,< 10 km,4,Life Sciences,1,296,2,Male,> 70,2,3,Research Director,2,Married,">10,000",15736,3 - 5 years,Y,No,16,3,4,80,2,16,5,1, 6 - 12 years,9,4,7
25-34,Yes,Travel_Rarely," >1,000",Research & Development,< 10 km,3,Technical Degree,1,297,4,Female,> 70,3,1,Research Scientist,1,Single,"< 5,000",8556,3 - 5 years,Y,Yes,11,3,3,80,0,8,5,3,3 - 5 years,2,0,4
35-44,No,Travel_Rarely,500 - 1000,Sales,< 10 km,3,Life Sciences,1,298,4,Female,> 70,3,3,Manager,4,Single,">10,000",14674,> 5 years,Y,Yes,18,3,3,80,0,16,3,3,< 2 years,0,0,0
25-34,Yes,Travel_Frequently,below 500,Sales,> 20km,4,Marketing,1,299,3,Female,40 - 70,2,2,Sales Executive,1,Single,"5,000 - 10,000",22967,3 - 5 years,Y,No,15,3,3,80,0,9,5,2, 6 - 12 years,3,0,1
25-34,Yes,Travel_Rarely,500 - 1000,Research & Development,< 10 km,3,Technical Degree,1,300,3,Male,> 70,3,1,Research Scientist,3,Single,"< 5,000",19757,> 2 ,Y,No,14,3,4,80,0,7,1,2, 6 - 12 years,2,1,5
45-54,No,Non-Travel," >1,000",Sales,< 10 km,3,Medical,1,302,4,Female,40 - 70,2,3,Sales Executive,4,Single,"5,000 - 10,000",16840,> 5 years,Y,No,12,3,4,80,0,23,2,3,> 12 years,7,12,8
45-54,No,Travel_Rarely," >1,000",Sales,< 10 km,3,Marketing,1,303,4,Female,40 - 70,3,2,Sales Executive,1,Married,"5,000 - 10,000",17011,> 2 ,Y,No,14,3,4,80,1,16,4,3, 6 - 12 years,2,0,5
